PLUGIN_ARG_ID,THREAD_ID,BLANK
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Ammunition|SUPPLY_TYPE=Ammunition|0","CLASS-5",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|BulkPOL|SUPPLY_TYPE=BulkPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|PackagedPOL|SUPPLY_TYPE=PackagedPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Consumable|SUPPLY_TYPE=Consumable|0","CLASS-9",
"org.cougaar.logistics.plugin.inventory.InventoryPlugin|Subsistence|SUPPLY_TYPE=Subsistence|0","CLASS-1",
"org.cougaar.logistics.ldm.MEIPrototypeProvider|MEI.q|0","BASE",
"org.cougaar.logistics.ldm.MEIPrototypeProvider|-PrototypeProvider|1","BASE",
"org.cougaar.logistics.ldm.PartsPrototypeProvider|Parts.q|0","BASE",
"org.cougaar.logistics.ldm.ClassIConsumerPrototypeProvider|subsistence.q|0","CLASS-1",
"org.cougaar.logistics.ldm.ClassIPartsPrototypeProvider|subsistence.q|0","CLASS-1",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Ammunition|SUPPLY_TYPE=Ammunition|0","CLASS-5",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Ammunition|SUPPLY_PG_CLASS=AmmoConsumerPG|1","CLASS-5",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Ammunition|SUPPLY_TYPE=Ammunition|0","CLASS-5",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|BulkPOL|SUPPLY_TYPE=BulkPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|BulkPOL|SUPPLY_PG_CLASS=FuelConsumerPG|1","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|BulkPOL|SUPPLY_TYPE=BulkPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|PackagedPOL|SUPPLY_TYPE=PackagedPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|PackagedPOL|SUPPLY_PG_CLASS=PackagedPOLConsumerPG|1","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|PackagedPOL|SUPPLY_TYPE=PackagedPOL|0","CLASS-3",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Consumable|SUPPLY_TYPE=Consumable|0","CLASS-9",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Consumable|SUPPLY_PG_CLASS=RepairPartConsumerPG|1","CLASS-9",
"org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Consumable|SUPPLY_TYPE=Consumable|0","CLASS-9",
"org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Subsistence|SUPPLY_TYPE=Subsistence|0","CLASS-1",
