PLUGIN_ID,PLUGIN_CLASS,DESCRIPTION,BLANK
org.cougaar.logistics.plugin.inventory.LogisticsOPlanPlugin,org.cougaar.logistics.plugin.inventory.LogisticsOPlanPlugin,Inventory Management Plugin,
org.cougaar.logistics.plugin.inventory.InventoryPlugin|Ammunition,org.cougaar.logistics.plugin.inventory.InventoryPlugin,Inventory Management Plugin,
org.cougaar.logistics.plugin.inventory.InventoryPlugin|BulkPOL,org.cougaar.logistics.plugin.inventory.InventoryPlugin,Inventory Management Plugin,
org.cougaar.logistics.plugin.inventory.InventoryPlugin|PackagedPOL,org.cougaar.logistics.plugin.inventory.InventoryPlugin,Inventory Management Plugin,
org.cougaar.logistics.plugin.inventory.InventoryPlugin|Consumable,org.cougaar.logistics.plugin.inventory.InventoryPlugin,Inventory Management Plugin,
org.cougaar.logistics.plugin.inventory.InventoryPlugin|Subsistence,org.cougaar.logistics.plugin.inventory.InventoryPlugin,Inventory Management Plugin,
org.cougaar.logistics.ldm.MEIPrototypeProvider,org.cougaar.logistics.ldm.MEIPrototypeProvider,Provides MEI asset prototypes & PGs from database,
org.cougaar.logistics.ldm.PartsPrototypeProvider,org.cougaar.logistics.ldm.PartsPrototypeProvider,Provides Part asset prototypes & PGs from database,
org.cougaar.logistics.ldm.ClassIConsumerPrototypeProvider,org.cougaar.logistics.ldm.ClassIConsumerPrototypeProvider,Subsistence Consumer LDM,
org.cougaar.logistics.ldm.ClassIPartsPrototypeProvider,org.cougaar.logistics.ldm.ClassIPartsPrototypeProvider,Subsistence LDM,
org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Ammunition,org.cougaar.logistics.plugin.demand.DemandForecastPlugin,Supply Projector Plugin: Ammunition,
org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Ammunition,org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin,Supply Projector Plugin: Ammunition,
org.cougaar.logistics.plugin.demand.DemandForecastPlugin|BulkPOL,org.cougaar.logistics.plugin.demand.DemandForecastPlugin,Supply Projector Plugin: BulkPOL,
org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|BulkPOL,org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin,Supply Projector Plugin: BulkPOL,
org.cougaar.logistics.plugin.demand.DemandForecastPlugin|PackagedPOL,org.cougaar.logistics.plugin.demand.DemandForecastPlugin,Supply Projector Plugin: PackagedPOL,
org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|PackagedPOL,org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin,Supply Projector Plugin: PackagedPOL,
org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Consumable,org.cougaar.logistics.plugin.demand.DemandForecastPlugin,Supply Projector Plugin: Consumable,
org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Consumable,org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin,Supply Projector Plugin: Consumable,
org.cougaar.logistics.plugin.demand.DemandForecastPlugin|Subsistence,org.cougaar.logistics.plugin.demand.DemandForecastPlugin,Supply Projector Plugin: Subsistence,
org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin|Subsistence,org.cougaar.logistics.plugin.demand.DemandGeneratorPlugin,Supply Projector Plugin: Subsistence,
mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin,mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugin,Transport Aggregator (Obsolete),
mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin,mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugin,Transport Allocator,
mil.darpa.log.alpine.blackjack.plugins.TransportExpanderPlugin,mil.darpa.log.alpine.blackjack.plugins.TransportExpanderPlugin,Transport Expander,
org.cougaar.logistics.plugin.packer.ALAmmoPacker,org.cougaar.logistics.plugin.packer.ALAmmoPacker,Packs ammo,
