dodic, nomenclature, weight, ccc
H164,2.75IN HE M151,36.97,MBB
PL90,STINGER: FIM-92A,83.22,MBB
PV29,HELLFIRE: AGM-114F,184.56,MBB
C995,84MM M136 AT-4,26.45,MBB
G881,HG: FRAG M67,2.04,MBB
G900,HG: INCENDIARY AN-M14,2.49,MBB
G911,HG: OFFENSIVE MK3A2,1.92,MBB
G930,HG: HC AN-M8,2.72,MBB
G940,HG: GREEN SMOKE M18,2.15,MBB
G945,HG: YELLOW SMOKE M18,1.9,MBB
G950,HG: RED SMOKE M18,1.9,MBB
G955,HG: VIOLET SMOKE M18,2.01,MBB
HZ01,MINE CANISTER VOLCAN,46.25,MBB
K010,BURSTER INCENDIARY M4,3.44,MBB
K022,DISP MINE XM131 MOPMS,192.5,MBB
K092,MINE: APERS M16 SERIE,11.88,MBB
K143,MINE: APERS M18A1 W/A,9.42,MBB
K146,MINE: APERS M26 METAL,3.8,MBB
K180,MINE: AT M15 HEAVY,51.78,MBB
K181,MINE: AT M21 HEAVY,28.6,MBB
K182,MINE: AT M24 OFF ROUT,32.5,MBB
K250,MINE: AT NM M19 HEAVY,34.96,MBB
K765,CHEM AGENT CS CAPSULE,2.25,MBB
K867,SMOKE POT: FLOATING M,53,MBB
L117,SIGNAL KIT M186 MIXED,0.6,MBB
L119,SNGL KIT FOL PEN RED,0.63,MBB
L305,SGNL HAND HELD M195 G,1.63,MBB
L306,SGNL HAND HELD M158 R,1.91,MBB
L307,SGNL HAND HELD M159 W,1.91,MBB
L311,SGNL HAND HELD M126 R,1.97,MBB
L312,SGNL HAND HELD M127A1,1.63,MBB
L314,SGNL HAND HELD M125A1,1.63,MBB
L495,FLARE SURFACE TRIP M4,1.91,MBB
L621,FIRE STARTER M2,0.07,MBB
M023,CHRG DEM BLK 1.25 C4,1.71,MBB
M028,BANGALORE TORPEDO M1A,228.1,MBB
M039,CHRG DEM BLK CRATER 4,57.5,MBB
M130,BLST CAP ELEC M6,0.13,MBB
M131,BLST CAP NON-ELEC M7,0.01,MBB
M241,DESTRUCT EXPLOS UNIV,1.61,MBB
M308,CAD/PAD DELAY M252 20,0.03,MBB
M420,CHRG DEM SHP 15# M2,23.33,MBB
M421,CHRG DEM SHP 40# M3,68.13,MBB
M448,DETON PERCUSS M2A1 8,0.35,MBB
M450,DETON PERCUSS M1A2 15,0.55,MBB
M456,CORD DETON TYPE-I CL,0.03,MBB
M500,CAD/PAD CUTTER ACT M2,0.65,MBB
M627,FIRING DEVICE DEMO M5,0.25,MBB
M670,FUZE BLST TIME M700,0.03,MBB
M757,CHRG ASSY DEM 16X1# M,30.58,MBB
M766,IGNITER TIME BLST FZ,0.22,MBB
M965,DEMO KIT CRATER HE M1,177.5,MBB
ML03,FRNG DEV DEM M142 MUL,0.8,MBB
T572,CHRG LINEAR SHAPE,0.01,MBB
T575,DEMO KIT BRDG: RD: AN,0.01,MBB
A059,5.56MM BALL M855 10/C,0.03,MBB
A063,5.56MM TRACER M856,0.04,MBB
C379,Ctg 120mm HE M934 w/,51.6,MBB
C624,Ctg 120mm Smoke XM929,51.6,MBB
C625,Ctg 120mm Illum XM930,51.6,MBB
CA07,Ctg 120mm Illum IR XM,51.6,MBB
A975,25MM HEI-T M792,2,MBB
A986,25MM APFSDS-T M919,1.87,MBB
G815,GREN SMOKE RP L8A3,5.25,MBB
G826,GREN IR M76,5.93,MBB
A576,CTG CAL .50 M8,0.39,MBB
A975,CTG 25MM HEI-T M792,2,MBB
A986,CTG 25MM APDS-T,1.87,MBB
PV18,TOW: BGM-71F,93.92,MBB
A131,7.62MM 4/1 TRCR LKD,0.09,MBB
A965,25.4MM M839 DECOY,0.7,MBB
L410,FLARE: IR M206,0.69,MBB
MD73,IMPULSE: M796,0.03,MBB
K151,MINE APERS M74,9.42,MBB
K184,MINE AT M75,32.5,MBB
K045,MINE: XM87: VOLCANO,46.25,MBB
D570,165MM HEP M123A1,95.85,MBB
G815,SMOKE RP L8A1/L8A3,5.25,MBB
A986,25MM APDS-T,1.87,MBB
