THEATER,ECHELON,POSTURE,LIN,DODIC,RATE
S,A,P,A21633,H164,0.28
S,A,R,A21633,H164,0.06
S,A,D,A21633,H164,0.28
S,A,A,A21633,H164,0.28
S,A,H,A21633,H164,0.15
S,A,S,A21633,H164,0.11
S,A,U,A21633,H164,0.04
S,B,S,A21633,H164,0.08
S,B,U,A21633,H164,0.03
S,B,P,A21633,H164,0.21
S,B,R,A21633,H164,0.04
S,B,D,A21633,H164,0.21
S,B,A,A21633,H164,0.21
S,B,H,A21633,H164,0.11
S,C,S,A21633,H164,0.06
S,C,U,A21633,H164,0.02
S,C,P,A21633,H164,0.15
S,C,R,A21633,H164,0.03
S,C,D,A21633,H164,0.15
S,C,A,A21633,H164,0.15
S,C,H,A21633,H164,0.08
S,D,D,A21633,H164,0.11
S,D,A,A21633,H164,0.11
S,D,H,A21633,H164,0.06
S,D,S,A21633,H164,0.04
S,D,U,A21633,H164,0.02
S,D,P,A21633,H164,0.11
S,D,R,A21633,H164,0.02
S,A,P,A21633,PL90,0.26
S,A,R,A21633,PL90,0
S,A,D,A21633,PL90,0.26
S,A,A,A21633,PL90,0.26
S,A,H,A21633,PL90,0.08
S,A,S,A21633,PL90,0.002675
S,A,U,A21633,PL90,0
S,B,S,A21633,PL90,0.002007
S,B,U,A21633,PL90,0
S,B,P,A21633,PL90,0.2
S,B,R,A21633,PL90,0
S,B,D,A21633,PL90,0.2
S,B,A,A21633,PL90,0.2
S,B,H,A21633,PL90,0.06
S,C,S,A21633,PL90,0.001506
S,C,U,A21633,PL90,0
S,C,P,A21633,PL90,0.15
S,C,R,A21633,PL90,0
S,C,D,A21633,PL90,0.15
S,C,A,A21633,PL90,0.15
S,C,H,A21633,PL90,0.04
S,D,D,A21633,PL90,0.11
S,D,A,A21633,PL90,0.11
S,D,H,A21633,PL90,0.03
S,D,S,A21633,PL90,0.001129
S,D,U,A21633,PL90,0
S,D,P,A21633,PL90,0.11
S,D,R,A21633,PL90,0
S,A,P,A21633,PV29,0.05
S,A,R,A21633,PV29,0.004063
S,A,D,A21633,PV29,0.05
S,A,A,A21633,PV29,0.05
S,A,H,A21633,PV29,0.04
S,A,S,A21633,PV29,0.01
S,A,U,A21633,PV29,0.002915
S,B,S,A21633,PV29,0.009912
S,B,U,A21633,PV29,0.002187
S,B,P,A21633,PV29,0.04
S,B,R,A21633,PV29,0.003049
S,B,D,A21633,PV29,0.04
S,B,A,A21633,PV29,0.04
S,B,H,A21633,PV29,0.03
S,C,S,A21633,PV29,0.007435
S,C,U,A21633,PV29,0.001641
S,C,P,A21633,PV29,0.03
S,C,R,A21633,PV29,0.002287
S,C,D,A21633,PV29,0.03
S,C,A,A21633,PV29,0.03
S,C,H,A21633,PV29,0.02
S,D,D,A21633,PV29,0.02
S,D,A,A21633,PV29,0.02
S,D,H,A21633,PV29,0.01
S,D,S,A21633,PV29,0.005577
S,D,U,A21633,PV29,0.001231
S,D,P,A21633,PV29,0.02
S,D,R,A21633,PV29,0.001716
S,A,P,BULK,C995,0.02
S,A,R,BULK,C995,0.001011
S,A,D,BULK,C995,0.02
S,A,A,BULK,C995,0.02
S,A,H,BULK,C995,0.007166
S,A,S,BULK,C995,0.003242
S,A,U,BULK,C995,0.0000623
S,B,S,BULK,C995,0.002433
S,B,U,BULK,C995,0.00004675
S,B,P,BULK,C995,0.01
S,B,R,BULK,C995,0.0007586
S,B,D,BULK,C995,0.01
S,B,A,BULK,C995,0.01
S,B,H,BULK,C995,0.005377
S,C,S,BULK,C995,0.001825
S,C,U,BULK,C995,0.00003507
S,C,P,BULK,C995,0.01
S,C,R,BULK,C995,0.000569
S,C,D,BULK,C995,0.01
S,C,A,BULK,C995,0.01
S,C,H,BULK,C995,0.004033
S,D,D,BULK,C995,0.009607
S,D,A,BULK,C995,0.009607
S,D,H,BULK,C995,0.003026
S,D,S,BULK,C995,0.001369
S,D,U,BULK,C995,0.0000263
S,D,P,BULK,C995,0.009607
S,D,R,BULK,C995,0.0004268
S,A,P,BULK,G881,65.13
S,A,R,BULK,G881,65.13
S,A,D,BULK,G881,65.13
